time_iso8601,forks_cumulative
2019-11-28 00:00:00+00:00,1
2021-10-05 00:00:00+00:00,2
2021-10-18 00:00:00+00:00,3
2021-12-06 00:00:00+00:00,4
2021-12-14 00:00:00+00:00,5
2022-01-13 00:00:00+00:00,6
2022-03-14 00:00:00+00:00,7
2022-03-16 00:00:00+00:00,8
2022-03-18 00:00:00+00:00,9
2022-03-28 00:00:00+00:00,10
2022-07-23 00:00:00+00:00,11
2022-11-25 00:00:00+00:00,12
2023-03-20 00:00:00+00:00,13
2023-03-22 00:00:00+00:00,14
2023-07-07 00:00:00+00:00,16
2023-07-20 00:00:00+00:00,17
2023-11-15 00:00:00+00:00,18
2024-02-01 00:00:00+00:00,19
2024-02-05 00:00:00+00:00,20
2024-04-30 00:00:00+00:00,21
2024-06-13 00:00:00+00:00,22
2024-08-21 00:00:00+00:00,23
2024-12-14 00:00:00+00:00,24
2024-12-20 00:00:00+00:00,25
2025-01-07 00:00:00+00:00,26
2025-02-19 00:00:00+00:00,27
